"X" "CID" "maxlatency" "mean_latency" "mean_time_retrieve" "mean_time_compute" "time_add_IPFS" "mean_time_pubsub" "numUpdates" "numberPeers" "numberPeerUpdating" "System"
"68" 38 "QmNsuBJUSff3ebbFQZCFGa6EkKJsog7NDQLjbKrGyty4A9" 250 250 131123489 63422 117010060 1803029.00000001 100 "2" "1" "IM-CRDT"
"69" 39 "QmNueC2YPrYwNqyVUKorpmbmWx9U9rjFgxfi5GnAipYhog" 277 277 121216313 50174 155761354 -27841.0000000235 100 "2" "1" "IM-CRDT"
"70" 40 "QmP3HvHgwquQzp2R1zSPZ9ic78XEPoz6nYJhFLhXTz9RWn" 216 216 69519137 69155 145019054 1392653.99999999 100 "2" "1" "IM-CRDT"
"71" 41 "QmPcTzjtvB36ksY1UfYE7LaUK7wonNiB9jcLFz3rvHiRWt" 193 193 75174132 46320 117384648 394900.000000007 100 "2" "1" "IM-CRDT"
"72" 42 "QmPczHQLzPQLic3UyPHUUvVB4gxC4vG22PT3251fo5SjGb" 201 201 81864799 44342 117513308 1577551 100 "2" "1" "IM-CRDT"
"73" 43 "QmPiLnM2F7Vf4G87Rfem38cpHoZqonevw9PvYwzA3JgCh6" 232 232 71126414 45396 159376292 1451898 100 "2" "1" "IM-CRDT"
"74" 44 "QmPiNzU1JQPboynaSzNJ4QdJSp9RYgL7zrjij743toY1X9" 281 281 70650546 49488 209170252 1129713.99999998 100 "2" "1" "IM-CRDT"
"75" 45 "QmPmfqUkYnhty2dxfuUe6zyFE9cdLuHTAPY2V6Q3325GBJ" 245 245 101117886 67090 142326576 1488448.00000001 100 "2" "1" "IM-CRDT"
"76" 46 "QmPoD6MTCpfyQoU7aKvt5y3zSFhVYaSa1jMFebeJrgPZ1b" 201 201 73833624 48121 125839861 1278393.99999999 100 "2" "1" "IM-CRDT"
"77" 47 "QmPyzzbKd5ZRS8DBKwRs6cVri6SB5F3bxkmVzxB5A7VdmC" 195 195 83462746 48555 109721687 1767011.99999999 100 "2" "1" "IM-CRDT"
"78" 48 "QmQ3Ydob4pjQooGiPfVqQohjDkVzq54SSV76UA2Csjqnap" 229 229 109034487 49986 118168195 1747332 100 "2" "1" "IM-CRDT"
"79" 49 "QmQ6UtWzHVRmAocATKcRJyxnYwF9PEG7vxK3eTQmyvEGCP" 256 256 100072599 47527 153546256 2333618 100 "2" "1" "IM-CRDT"
"80" 50 "QmQCTew6WNo7hYL7xgQg2uC735BM23GmmiiTQnGEr39bX3" 192 192 72508450 44618 118016991 1429941.00000001 100 "2" "1" "IM-CRDT"
"81" 51 "QmQP9YdsUwLbEHqHaV9nPSkui7HLppmaFwzrpAeerqxT5m" 284 284 71868541 58095 210565071 1508292.99999998 100 "2" "1" "IM-CRDT"
"82" 52 "QmQTNxDsdwfmrrYKKqQVGaF4sMdJFrDZSYGuTKbYTrQuPd" 213 213 85183483 43013 126476989 1296515 100 "2" "1" "IM-CRDT"
"83" 53 "QmQyjkmphSFPyubmUDgiyNNDAVbZd8swkHVt2NTbj8VXAg" 269 269 73806639 60892 193785656 1346813 100 "2" "1" "IM-CRDT"
"84" 54 "QmRfuFKhhFfKNkka7BBL3WAt8MoY3kxuZoqEMrkr9fbQKR" 231 231 110018234 48016 118830493 2103257.00000001 100 "2" "1" "IM-CRDT"
"85" 55 "QmRmp1od8zWesXcy6C4AvrGz4Fgq6ceoEBTzJbnxPDLGB3" 275 275 71733124 66984 201269283 1930609 100 "2" "1" "IM-CRDT"
"86" 56 "QmRS5SrQD3fGqzsQzt6Wjp3ewQ4qZUQH76cFz14agxAiFp" 221 221 67229903 46995 151602760 2120341.99999999 100 "2" "1" "IM-CRDT"
"87" 57 "QmRs8ZCP41hQX83KmBfSe8PxSPc5fzr2kNvEJ5eE5pS9zx" 259 259 71099804 50244 185132989 2716963.00000002 100 "2" "1" "IM-CRDT"
"88" 58 "QmS142y8R8fbtEKTukbVgTxNm7Cp4DdsgFJhw6VHe5f2UZ" 830 830 675544967 57748 152513171 1884113.99999995 100 "2" "1" "IM-CRDT"
"89" 59 "QmS1Q7gcrzGsiBHFtHNUPs6Cxo13k9pFDRMVAFCu7tMHQ9" 209 209 72863595 49482 134570044 1516878.99999999 100 "2" "1" "IM-CRDT"
"90" 60 "QmS5StbgpYtonANch8Y5P2QTvg9ckgRKpACS796SX1qLdS" 283 283 105187356 46724 176469003 1296917.00000001 100 "2" "1" "IM-CRDT"
"91" 61 "QmSBVZgWD7shMmc5KY7hwquPJJ9Uu3JCX7eVDRk6pmnzNq" 216 216 71603783 47536 142140468 2208213 100 "2" "1" "IM-CRDT"
"92" 62 "QmSWik8Y6k4uHoS4VQfDPbXo8SHZxz3cw24gAw7EEu5uRH" 209 209 72607070 52141 134938904 1401884.99999999 100 "2" "1" "IM-CRDT"
"93" 63 "QmT44szEWDHcphZFwj7dCT6Dquez1Bd4p3wYpDUgGEPMxo" 264 264 92011484 69910 167963380 3955225.99999998 100 "2" "1" "IM-CRDT"
"94" 64 "QmTqs4BGRahHicwFvYEZCQw9NbAXpwRLtnFrVT4s6eW8qs" 191 191 71242964 52006 117851574 1853455.99999999 100 "2" "1" "IM-CRDT"
"95" 65 "QmTSfSLg3WdwHn4W6aq82tKtfLT8uCkSuZvtPsm4GK4oEw" 233 233 114829143 50685 117602347 517824.999999988 100 "2" "1" "IM-CRDT"
"96" 66 "QmTx88WW7tfTuhJsQqUPrAhoPykoWgFnjg2VbZS3FFskuL" 208 208 71087459 45000 134769015 2098525.99999999 100 "2" "1" "IM-CRDT"
"97" 67 "QmTybVoybF7FDtek8Y7W3sVQ1YEtMEHCFcZpquP5poDwNb" 219 219 99206252 56484 117407060 2330204.00000001 100 "2" "1" "IM-CRDT"
"98" 68 "QmUFngtL5u4Soynvb46LYp9MZSeoE6hYn3j8v8hFs2jbuD" 222 222 77131112 55610 143150841 1662437.00000001 100 "2" "1" "IM-CRDT"
"99" 69 "QmUL4zKaKdNjiqqY14ynypaCUMmcEfLsRLcB1Lvm5s8A4Q" 241 241 114811022 54614 125686628 447735.999999992 100 "2" "1" "IM-CRDT"
"100" 70 "QmUoR2fStPgveKewuWYuiFpdLANrWLxNDeCLeLi4VxU2Tg" 210 210 91682966 45953 117820341 450739.999999996 100 "2" "1" "IM-CRDT"
"101" 71 "QmUPDecvBejP8cdPt83nz2LnAB7Fw5qpoD2mf36qtnT99n" 187 187 67643329 44257 117105043 2207370.99999999 100 "2" "1" "IM-CRDT"
"102" 72 "QmUR7MEDnsGEjRayW3hZz2oxzo62QTfFGR6F3rwaQa8Hc7" 199 199 78654549 46346 118573427 1725677.99999999 100 "2" "1" "IM-CRDT"
"103" 73 "QmV1Dqj9mfpfxXsuf3mxJV3drGqghc7VDGLbcDv1KKBqDc" 231 231 103404107 48523 126771042 776328.000000007 100 "2" "1" "IM-CRDT"
"104" 74 "QmVbt8pjCXk4uZ9g2ny4g8osKCecTSugh6itLKoycEf6dS" 285 285 72755088 49245 210300111 1895556 100 "2" "1" "IM-CRDT"
"105" 75 "QmVd98ztnHPgusN4US8h9kZN9kRrdwYdhu8VvAFU4pdnYc" 228 228 82761772 47165 142941856 2249207.00000001 100 "2" "1" "IM-CRDT"
"106" 76 "QmVojycJ2qqPfeaw98twuBuid7UE4kcUnRfh7LEUKZbRCp" 211 211 93352816 42198 115240859 2364127 100 "2" "1" "IM-CRDT"
"107" 77 "QmVpiBFPeRZyoYyhkhsfZCE2qMdnXoJC75tUQUe3RkTWro" 188 188 76881689 47006 109312415 1758890.00000001 100 "2" "1" "IM-CRDT"
"108" 78 "QmVsiQzkhxzfCE8K2Ex2pPkix4YmmrcxTQYPrixb5MrJXg" 237 237 75694947 49720 159258652 1996681 100 "2" "1" "IM-CRDT"
"109" 79 "QmW5QR35C8oNRkv2y5AHPfiDmVUi9EKgocUWJENkNhfBHg" 220 220 92722617 49760 125505067 1722556 100 "2" "1" "IM-CRDT"
"110" 80 "QmW5szRoyhPnjcLZA21QvhHB3e5QDNrhpWdgeJciyYp6ab" 170 170 67412873 62053 100984425 1540649 100 "2" "1" "IM-CRDT"
"111" 81 "QmWmg1dhFght3fiPU5JGRVQUaehDQm5HktAgpg2ha2brPv" 251 251 71896279 45525 176573339 2484857.00000001 100 "2" "1" "IM-CRDT"
"112" 82 "QmWVKaNdKhurryWA9sTC1MgJQcoPHeBCPvNCeSJVp5N4Gd" 216 216 71548460 53475 142865577 1532488 100 "2" "1" "IM-CRDT"
"113" 83 "QmWZMSrHw3ujJsy4f4aAYtPYAATR6nAoaUaYXEQuhSerwj" 198 198 79039587 52622 117219190 1688601.00000001 100 "2" "1" "IM-CRDT"
"114" 84 "QmX4mzucVLo87PyAjHpJ7qZfmteQcQM1fJD4z1rkfuM8sK" 230 230 69723551 45885 157943725 2286838.99999999 100 "2" "1" "IM-CRDT"
"115" 85 "QmX7StQVptXSLBrwE8zArx6f9DM99NJxK56bjTYF3gPjBr" 279 279 68518377 53929 209235823 1191870.99999999 100 "2" "1" "IM-CRDT"
"116" 86 "QmXhHGYtDq4BtE6gzhKYRL3dHbg6zkb1GEhK2r11fb7sAN" 280 280 108977838 73814 169331852 1616495.99999998 100 "2" "1" "IM-CRDT"
"117" 87 "QmXMoqJpWDzoKcvYyQUx26AuTxkRKLWyihbt36hEEK15Du" 236 236 73980044 50325 160610666 1358965.00000001 100 "2" "1" "IM-CRDT"
"118" 88 "QmXnSw9XYwQwVunXu7Zk8CrUJdQXCvW2rkwxHAaLpx8ucS" 189 189 60059532 58650 126793349 2088469 100 "2" "1" "IM-CRDT"
"119" 89 "QmXsqQQi3FRCWtZw1YjTC28g8Mc5NmwDh1oVCvg38FUHj8" 252 252 106770584 52170 143804788 1372457.99999999 100 "2" "1" "IM-CRDT"
"120" 90 "QmXx2PphDUUvH6eU2XEcWmxruTsSuhYDRY5rKtgf33cWWz" 203 203 89218087 60088 111860993 1860831.99999999 100 "2" "1" "IM-CRDT"
"121" 91 "QmY5bNSY4NRuiwXkCq2wKLF8Kpc5XhCjoHdMCtmFuWYWP9" 261 261 67332969 64533 192672828 929669.999999987 100 "2" "1" "IM-CRDT"
"122" 92 "QmYaeAnRCuW7ZYncDGiGfvJyBLikira26g92pRW6oZmt9K" 218 218 81496482 50953 134964633 1487932 100 "2" "1" "IM-CRDT"
"123" 93 "QmYGdUyNrAuWDZrskk7DKg38Rocdy7AJ94tj7KVHc5tLJ9" 212 212 75479501 56227 134353551 2110721.00000001 100 "2" "1" "IM-CRDT"
"124" 94 "QmYV1WGeDyEUBkkRsMsQuLNz7Hv7TdsX9sqRo9rN7eo4Ls" 283 283 105491291 52945 176165862 1289901.99999998 100 "2" "1" "IM-CRDT"
"125" 95 "QmZ8vhkM1dCSod79B755oNi7gktSJrbBntAJmeDiQTLQnk" 241 241 72592896 51626 167214921 1140557 100 "2" "1" "IM-CRDT"
"126" 96 "QmZK2yQNVR6JnXuz4UVBjmg3A5sc97PcQFn3i7bFYCzfop" 195 195 74639635 50137 118724973 1585254.99999999 100 "2" "1" "IM-CRDT"
"127" 97 "QmZKSkRN3kLjbNjshvoQxefuE7ZJ3Dq3FpAJ94yr3KbDKV" 221 221 67605512 45365 151277712 2071411.00000001 100 "2" "1" "IM-CRDT"
"128" 98 "QmZvekjPpfqKdy4HrovXp4ZQf1NWxVwaYXiMwVeSPyZdwS" 275 275 71530072 47495 201165285 2257147.99999997 100 "2" "1" "IM-CRDT"
"129" 99 "QmZw1e9JvRPuFLszmjy1eA4gDpzrfSyS161MzrMoBthGK8" 210 210 73480648 58371 134832436 1628545 100 "2" "1" "IM-CRDT"
"130" 100 "QmZwRNBUhJ1LivRNhMcjSdaFry8FBARHN1N86nnNUJ5cFs" 222 222 103351472 74235 117258049 1316244.00000001 100 "2" "1" "IM-CRDT"
"131" 1 "Qma9ZmBQqkcSSJyue16kDEDp6djUtNxR8yqgps53mYHH1s" 198 198 78507275 47259 118348340 1097126 100 "2" "1" "IM-CRDT"
"132" 2 "QmaaxQ5DPKPXymkD7dCHt8VGKh8rkKLNrPjV9XuEA7jyEH" 232 232 80127193 45641 150454520 1372646 100 "2" "1" "IM-CRDT"
"133" 3 "QmaDMJcRxccDZXkTNG2Mgt8ZjaR4rVu9vnYAYuf3Ky3Dcn" 191 191 71670660 48481 117904217 1376642 100 "2" "1" "IM-CRDT"
"134" 4 "QmaeFzBM4EgZccdFrTrpoCWD8CsN2Er7hJkcJC83Ffghto" 222 222 101856090 46358 119088220 1009332 100 "2" "1" "IM-CRDT"
"135" 5 "QmaF4govtUWjSKEzLvCVoJFqdjNKW34UHtJEUGojKyckLE" 276 276 89338736 66000 185517204 1078059.99999999 100 "2" "1" "IM-CRDT"
"136" 6 "QmaPaYV7yTpq4PkFPZsm2N8A8dX1iMKW3K4VuvBgxsGvRp" 273 273 105552640 48216 165849829 1549314.99999998 100 "2" "1" "IM-CRDT"
"137" 7 "Qmas4TZLxmkAQTHgky5CHkzTV6ZaYdmQAW9tn1Am2HZUXT" 196 196 81283868 50087 112577478 2088567.00000001 100 "2" "1" "IM-CRDT"
"138" 8 "QmaSiPmMwQc47uMhieALmsVpHR65yC6cSZXvES31SJbKiG" 225 225 105218945 50592 118162799 1567664.00000001 100 "2" "1" "IM-CRDT"
"139" 9 "QmaUjBV1ByuF8qozVZgurchSKrcTBBmAvB9DhsKNJonDHC" 263 263 108968897 49723 151483471 2497908.99999999 100 "2" "1" "IM-CRDT"
"140" 10 "QmaX46aEHjdNtpyAdeTChq1LxqenEqeNaUbAiKUoCBWiDh" 258 258 83974935 63455 172912430 1049179.99999998 100 "2" "1" "IM-CRDT"
"141" 11 "Qmax4Syixbc4vbkGzSQTZySgD5XARMtK2yto72Kek3CLTn" 204 204 84867167 48409 118328283 756141.000000014 100 "2" "1" "IM-CRDT"
"142" 12 "Qmb34UzC8QP3rYx8ocvbfqJxhDifvDveFfApWEqaeKzvjJ" 217 217 80603040 49231 135340449 1007280.00000001 100 "2" "1" "IM-CRDT"
"143" 13 "QmboxoHNaNWuFAGQxkUFgY1hMXj5h2fiER74mQ3NBNZSUH" 233 233 79190110 45916 151079083 2684890.99999999 100 "2" "1" "IM-CRDT"
"144" 14 "QmbYVwjRkF6ZHLQ9B36E6SWLFyuzTk9cu5ab9T1DtMzWK6" 237 237 112083248 58873 123033725 1824153.99999999 100 "2" "1" "IM-CRDT"
"145" 15 "Qmc3MrhLDhqpJt1HLgwjA1VhiHWSGyuryHC8xLSrrgzNxg" 236 236 76150936 73952 158678578 1096533.99999999 100 "2" "1" "IM-CRDT"
"146" 16 "QmcFC6PDTr2tSHpGXR7WvZ1dnYTsCJo6N4opgZgCEkLC6c" 236 236 116185153 42401 117835646 1936800.00000001 100 "2" "1" "IM-CRDT"
"147" 17 "QmcGEuVVmQEDCDsqeQ4oApM9ncctoaPsuBfckMbcVbBmze" 229 229 75611082 50122 151342213 1996582.99999999 100 "2" "1" "IM-CRDT"
"148" 18 "Qmcsciq95dA7rFgfDDthXEBqr4aEDTU1S3bH3CBsT6ALfK" 242 242 81277922 55069 160012361 654648.000000009 100 "2" "1" "IM-CRDT"
