"X" "CID" "maxlatency" "mean_latency" "mean_time_retrieve" "mean_time_compute" "time_add_IPFS" "mean_time_pubsub" "numUpdates" "numberPeers" "numberPeerUpdating" "System"
"1" 1 "QmcMEENQorLxUuKRfa3e8cegB6vRaxBK8B2krtiPSyboYH" 273 273 127343000 68260 143489951 2098789.00000001 10 "2" "1" "IM-CRDT"
"2" 2 "QmcmueAqB4mzVPmaDvjtpdFwM2p7gtwCzpmfrf9vkZ4wGh" 257 257 113385992 50660 142531519 1031828.99999999 10 "2" "1" "IM-CRDT"
"3" 3 "QmetrKR9aX8wCHWeCEcGRsArRNw1wbNZXGbfLvfhkkk9kA" 270 270 150361204 60932 118175997 1401866.99999998 10 "2" "1" "IM-CRDT"
"4" 4 "QmNjHhHwpyuwKY42xwWDBZgukDCZwxyYz5ySufFdMoKACt" 196 196 85839911 53044 109304827 802218.000000011 10 "2" "1" "IM-CRDT"
"5" 5 "QmNy3KfMbqxBqgr5tLt4cCykVLLKQ4MwoCNDa5p9LFuR4c" 259 259 91124867 60072 167599933 215127.999999993 10 "2" "1" "IM-CRDT"
"6" 6 "QmRDtSyjo1x9M9v7KBPhfLgByHKDkWLeJGHYxu9oxQjueF" 207 207 88816079 50468 117780824 352629.000000007 10 "2" "1" "IM-CRDT"
"7" 7 "QmRyGYSXsTJVcexBJzVCjtLR1KBxnxGzPXrcwkmQNS3yst" 225 225 123390362 51045 101208631 349962.000000005 10 "2" "1" "IM-CRDT"
"8" 8 "QmU8dVZkoEXgk1UZbKF6rSWeL6hAv91tuNxb8Jn9xhyh7V" 897 897 770588183 69163 125814500 528153.999999972 10 "2" "1" "IM-CRDT"
"9" 9 "QmV6T9PQMsb8fyuFrm3asxcw9HAbx72L31TqAiVBJE3F7P" 188 188 85152263 48964 101561378 1237394.99999999 10 "2" "1" "IM-CRDT"
"10" 10 "QmYfTW4YX57ncBuZbpJ234JsPQfdPrmAsfRMZwNoN4rJ7T" 205 205 86750126 53198 117147823 1048853.00000001 10 "2" "1" "IM-CRDT"
"11" 1 "QmNUBzaNjXqEMNYFw6h25cLVhpmq3xfZSERhRU9Vw2hNu9" 267 267 77783997 47871 184501524 4666608 10 "2" "1" "IM-CRDT"
"12" 2 "QmNzJ8cNGkqRSpYG4Vu9d2Gr1PNqNG2fGru32NvLRUsvgW" 253 253 82732343 57036 168342989 1867631.99999999 10 "2" "1" "IM-CRDT"
"13" 3 "QmRABZThcH6c3xWkBu4mJE3HST3KxMjGJZButBfD3a9TGQ" 229 229 78915171 56356 143517614 6510859.00000001 10 "2" "1" "IM-CRDT"
"14" 4 "QmS75KztxxJ4nd2QPDNnofc1j8cqs9RwKkY7EGHB15gvUq" 247 247 75113071 54875 168169735 3662319 10 "2" "1" "IM-CRDT"
"15" 5 "QmSikpeE4RTcz3EPNwvKFPRUaiDqjSUwUWnhru6AoKsDKA" 255 255 85194888 52067 160369748 9383297 10 "2" "1" "IM-CRDT"
"16" 6 "QmUMtVxGj2K5kiuiXNuBqfZYEEk9hUSq1UY9addofbVsaC" 263 263 124614015 50055 135391841 2944089.00000002 10 "2" "1" "IM-CRDT"
"17" 7 "QmX1WBjjpf1WSHT9f5DGUVwbmgWPQtxWFi8DAen4GxaYai" 849 849 723568800 72580 117472543 7886077 10 "2" "1" "IM-CRDT"
"18" 8 "QmYCyBxAyWJ1NNmCpMAGHzyqGWRBiNdhB6zCDs81tmmc3j" 231 231 75828220 49868 151349728 3772184.00000001 10 "2" "1" "IM-CRDT"
"19" 9 "QmYDtRptDqRS3yA1YoWJ4iYmsgwf7poPbAMrauQdnTnGF4" 242 242 102552580 61031 135905681 3480707.99999999 10 "2" "1" "IM-CRDT"
"20" 10 "QmYq2KbbpHPHEBTJwCNNdUkm8HEfeo5Sr5fhhcFBx9iLyN" 277 277 119898314 48375 151471344 5581967.00000002 10 "2" "1" "IM-CRDT"
"21" 1 "QmbBWNGygtuf3cUXTtR3NijMw1nWL45KSq3BatPbvnoE1i" 258 258 79824228 52592 176254405 1868775.00000003 10 "2" "1" "IM-CRDT"
"22" 2 "QmczvMWMwf3r2NomWrtR13Hys83kTFcPTeu5UULEQpeRMC" 269 269 90656927 51787 176834138 1457148.00000002 10 "2" "1" "IM-CRDT"
"23" 3 "Qmd3mVCQD2evZUV9rcWXFnJ9jvk5NDgLEhLsd7Zp2GvPSR" 205 205 68601263 51659 134968429 1378649 10 "2" "1" "IM-CRDT"
"24" 4 "QmdLZocirnCdjK9Vdh4LHF3ZFzRQ41L61Uf3CVRR85jKyT" 1000 1000 862520284 61830 136391573 1026312.99999996 10 "2" "1" "IM-CRDT"
"25" 5 "QmNT2BxtTiyxwXzZej3TW6aWVL4qUnRcDER5E1DWVYPNxz" 221 221 67677076 49562 151684419 1588943 10 "2" "1" "IM-CRDT"
"26" 6 "QmP8236zXGhwtrXU2PmGg1UGNrVEvak8BhddopSoNR5wmT" 309 309 148389862 68628 159870801 670708.999999988 10 "2" "1" "IM-CRDT"
"27" 7 "QmQHDMQxAvg2nbV9dPBnVisJuXSe77dguJSHNkKNoYEFuD" 261 261 75067594 59854 184345217 1527334.99999999 10 "2" "1" "IM-CRDT"
"28" 8 "QmTJw6j3mdntSQLDnLopJ7fpubXSrKR2nWA4d6PLEDgLDQ" 218 218 82401342 69513 134154815 1374329.99999999 10 "2" "1" "IM-CRDT"
"29" 9 "QmXk2C7Z9JNbyNXzFfvZs2mg3mUiDJ9WwMnXakq3nhT1Ro" 255 255 78384706 55587 175645896 913811.00000001 10 "2" "1" "IM-CRDT"
"30" 10 "QmZMNzxaiQL8T8xN1FsRT4S7D8DMD4qGECS2Fnfbs27sLX" 253 253 108456807 62337 142088374 2392482 10 "2" "1" "IM-CRDT"
"31" 1 "Qma7mLv5vdMTBjGzGk3cJrQe2q8izsUf7MF2ic3tEURAHS" 196 196 92572004 49791 101562971 1815234 100 "2" "1" "IM-CRDT"
"32" 2 "QmannctUprwoxb23W5nzZdqcyNP3RacToXmU1WxjTJqFsG" 241 241 70227351 48109 169184755 1539784.99999999 100 "2" "1" "IM-CRDT"
"33" 3 "QmaUbge1uJZCsvUjQVMMf78FeMFYcoPoECvsN4BaWxGpBo" 199 199 71061570 47202 126353858 1537370.00000001 100 "2" "1" "IM-CRDT"
"34" 4 "QmauTAV3vMKm8dFDEGeCDL5CkEmkpGxqWPEpZTfwZxf8mJ" 270 270 117215375 68607 151406515 1309503.00000001 100 "2" "1" "IM-CRDT"
"35" 5 "QmaWE4sRQoCEz3pEKLXe3bHFqrs49JuwaAMepn8KfSt94f" 211 211 115581557 46794 92975345 2396303.99999999 100 "2" "1" "IM-CRDT"
"36" 6 "QmawPKcv9u5Q1AHu81csLesmmZ5Eew35cXBt2nCvQoe67R" 328 328 114612280 73198 210515017 2799505.00000001 100 "2" "1" "IM-CRDT"
"37" 7 "QmawUFVsc95a3Pj4MghXS8oTCCQBCyCLWfu3g3ntwRQfen" 240 240 69725137 75352 168387915 1811596.00000001 100 "2" "1" "IM-CRDT"
"38" 8 "Qmb43Lx37HwaQQK1HfcaggyGSDasf94u5whCF96gSBdchu" 195 195 67277282 47097 126758971 916650.000000004 100 "2" "1" "IM-CRDT"
"39" 9 "Qmb93Z8HmpcDohiYYX5abpgvrg4gNCtDZS7JWs4mKSz5p8" 237 237 67165269 46353 167990249 1798128.99999999 100 "2" "1" "IM-CRDT"
"40" 10 "QmbcjZKW8tL3fanZaxVmiuHuKiphFijy4HfnWafEyK2TeV" 293 293 115617113 46798 176494791 841297.999999995 100 "2" "1" "IM-CRDT"
"41" 11 "QmbE7dGwQLv73u2uiceseSELe7zv6VVBx2oxp8XDi57EE7" 191 191 70907611 47566 118148051 1896772 100 "2" "1" "IM-CRDT"
"42" 12 "QmbPwreCXLnEL5UfNUWBD7D8QoSCxLZW4bzy2unZT1vnM9" 193 193 72515040 64587 117836410 2583963.00000001 100 "2" "1" "IM-CRDT"
"43" 13 "QmbrTietTbmRL9HqoTkZ8Loi2B7roWKkxQLchMcYtMifFx" 231 231 85915894 69857 142476525 2537724 100 "2" "1" "IM-CRDT"
"44" 14 "QmbtXUgrD6D91GmCCRcs7Q53vuiEtofPWoUexAycQEPPHj" 221 221 76552493 45854 143277594 1124058.99999999 100 "2" "1" "IM-CRDT"
"45" 15 "QmbVPeSZL7mWoM2mVUaAMhocoQJtVMEK9M4M1ixXoLhMZw" 220 220 99907721 49838 117816696 2225744.99999999 100 "2" "1" "IM-CRDT"
"46" 16 "QmbWF3r9gXjDgAMnqcvyN6PuakXD8BuMKDAs4W8gzr3GD5" 251 251 76841605 52017 172720112 1386266.00000001 100 "2" "1" "IM-CRDT"
"47" 17 "Qmc6dGUCV4TH96Q23cSkLDutrMu6yVqxY71nZsf2zB2VgJ" 197 197 67868622 48938 126472498 2609941.99999999 100 "2" "1" "IM-CRDT"
"48" 18 "QmcGAfEdRpu18vS6hX16hKWX2b7GiM5ptYgPULhW8gGGf4" 199 199 74897093 60007 121718841 2324059.00000001 100 "2" "1" "IM-CRDT"
"49" 19 "QmcMTtsufc8TbF6QBxRDVj6huXfEiuSRb48N4n6gSKTmaJ" 225 225 69897265 62670 152120336 2919728.99999999 100 "2" "1" "IM-CRDT"
"50" 20 "Qmco7mHbLuuMfzyHVoJfLUYQUQEfbcDdKpeT8dBrhNDMCh" 212 212 67927127 69256 143108345 895272.000000006 100 "2" "1" "IM-CRDT"
"51" 21 "QmczHZXKGJzYnV9CFgJ6qyvzMPXibkdeQv3kePbGPsKpsL" 228 228 78760306 53325 147879822 1306546.99999999 100 "2" "1" "IM-CRDT"
"52" 22 "QmdC7DKXGL3ZGRMdRW4vvm1nfTVuFVbqeBDa5qMHmxxg5D" 215 215 78849270 50949 134786702 1313078.99999999 100 "2" "1" "IM-CRDT"
"53" 23 "QmdfFE5v9wNs1n7UReiKm2ogFqaXvurd1xW4RBuKZjL8W6" 197 197 69406416 55908 126536259 1001417 100 "2" "1" "IM-CRDT"
"54" 24 "QmdkTpdeaxexXqwPPNbaKuGWP3dAzsKwUqZiwPL4pcMoQp" 242 242 104652109 54726 134990285 2302879.99999999 100 "2" "1" "IM-CRDT"
"55" 25 "QmdKzW2P3fTDdekvdRUPjBqKxCAZoUuG2jMSK7bXW855T7" 199 199 63051170 64729 134993699 890401.999999995 100 "2" "1" "IM-CRDT"
"56" 26 "QmdsMFukhGax2aMAqWM79aJuTkBNnV3p6p14MwsYJqfpCo" 204 204 72512947 62219 129515417 1909416.99999999 100 "2" "1" "IM-CRDT"
"57" 27 "QmehzVCMzqiY26LPSZocHTdu2sNKiBp6Zz9CZyFutsQcKU" 217 217 73214641 42969 142966511 775879.000000003 100 "2" "1" "IM-CRDT"
"58" 28 "QmeQozGR1wpnFoUMLcbD3Wi3VZVK1oiJPD99GPcMs5VKyR" 196 196 76250004 51153 117092450 2606393 100 "2" "1" "IM-CRDT"
"59" 29 "QmettAY5ZpRQd6LJuHSXwQs16tsLikVZNi6zLgLSFui999" 279 279 76478964 49078 201176436 1295522.00000001 100 "2" "1" "IM-CRDT"
"60" 30 "QmewyqmTxP8xY763CgAgj1ZKatEWQ24wRY8j8ZNKxf7nwU" 191 191 73156808 48634 117249335 545222.999999993 100 "2" "1" "IM-CRDT"
"61" 31 "QmeyauYEGugHyATfXeqU4BAf8TJbWtQp3kgRKJzFMM5NW3" 190 190 71508298 68042 117715919 707740.999999999 100 "2" "1" "IM-CRDT"
"62" 32 "Qmf7mdFZbFXtdRw8vpGZAeJEddbbxDppk7Qz18eZdnwHnH" 201 201 72473602 54491 125741107 2730799.99999999 100 "2" "1" "IM-CRDT"
"63" 33 "Qmf9RRuHfvqNXfDkYmN66P8iKfBrx5aZXicNRA9LwvW1rD" 247 247 68734808 49170 176077403 2138619.00000001 100 "2" "1" "IM-CRDT"
"64" 34 "QmfG6Fz7raH3gbEQpngTGFuLVQPbYJjkv4P2KFzEqpXtKt" 277 277 73957541 61838 202257377 723244.000000022 100 "2" "1" "IM-CRDT"
"65" 35 "QmfKo2daahDCxTwJjsJNbxK83cGydJBkoCw44HbWDTnn7k" 227 227 82773732 47411 142716701 1462155.99999999 100 "2" "1" "IM-CRDT"
"66" 36 "QmNiBB1cw77ESxLovzqp5Bsxgk3eq5Aake8CLohWqq4m4N" 239 239 110121252 48096 127027536 1803115.99999999 100 "2" "1" "IM-CRDT"
"67" 37 "QmNksy1syWTNkK6tNR5wF71QFvXMazn7JhqSFj4nSXHT4Y" 241 241 121661670 47733 118130030 1160566.99999999 100 "2" "1" "IM-CRDT"
